bend,lat,lon,elv
21, 45.071856,6.039285, 806
20, 45.066445,6.042247, 880
19, 45.067962,6.042078, 900
18, 45.065939,6.043161, 922
17, 45.068889,6.042865, 965
16, 45.067178,6.043902, 980
15, 45.071921,6.048143, 1025
14, 45.070944,6.044270, 1055
13, 45.072436,6.051228, 1120
12, 45.074783,6.047631, 1161
11, 45.073262,6.052122, 1195
10, 45.076666,6.047363, 1245
9, 45.07478,6.052444, 1295
8, 45.077914,6.047792, 1345
7, 45.077074,6.05331, 1390
6, 45.082275,6.062314, 1490
5, 45.083707,6.057593, 1512
4, 45.083596,6.062638, 1553
3, 45.088165,6.05584, 1626
2, 45.088695,6.060451, 1660
1, 45.091468,6.055367, 1713